Temp;Press;Alt;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;MagX;MagY;MagZ;Yaw;Pitch;Roll;GpsLat;GpsLong;GpsAlt;GpsSpeed;SIV
47,842;782,153;1,227,217;0,357;0,877;-0,931;-30,562;112,563;-100,812;10,875;-29,250;30,062;203,062;-2,250;-100,000;38396336;33702897;947;78,369;5
47,842;782,508;1,224,186;-0,385;0,926;-0,686;-69,188;136,625;-123,063;9,688;-28,250;30,375;201,438;-10,813;-97,125;38396336;33702897;947;78,369;5
47,860;782,657;1,221,451;-0,776;0,990;-0,438;-103,438;228,625;-90,687;10,062;-29,687;27,750;191,187;-18,500;-94,125;38396336;33702897;947;78,369;5
47,842;782,863;1,218,880;-1,352;2,196;0,110;-135,000;339,500;-45,250;4,875;-32,500;26,875;168,750;-22,875;-93,125;38396336;33702897;947;78,369;5
47,842;783,455;1,215,819;-2,685;2,267;0,972;-69,125;443,000;68,688;-3,563;-38,375;19,187;132,125;-21,000;-97,438;38396336;33702897;947;78,369;5
47,842;783,574;1,213,036;-0,452;1,472;0,227;-180,062;331,625;247,000;-16,062;-39,688;6,250;60,500;6,062;-91,937;38396336;33702897;947;78,369;5
47,860;782,894;1,211,813;1,534;2,572;3,165;-169,437;366,250;148,812;-28,250;-30,500;-16,187;21,750;18,250;-66,250;38396772;33703105;0;80,953;4
47,842;783,811;1,209,501;0,844;1,841;2,398;120,500;424,375;17,562;-17,187;-18,000;-36,563;357,812;4,750;-57,563;38396772;33703105;0;80,953;4
47,842;784,640;1,206,317;-0,016;1,546;-0,065;198,062;439,250;108,500;11,375;-23,250;-35,250;329,437;-5,812;-75,312;38396789;33703112;947;80,953;5
47,860;784,907;1,203,076;2,748;2,240;-1,515;-24,125;329,062;72,375;24,875;-32,875;-15,375;289,062;0,000;-85,000;38396806;33703121;947;80,405;6
47,860;784,789;1,200,423;0,614;1,760;0,920;-52,750;99,813;-193,375;24,500;-34,750;-8,750;282,562;-9,813;-79,563;38396806;33703121;947;80,405;6
47,842;784,521;1,198,613;-2,670;1,579;1,058;62,000;-65,063;-124,188;33,875;-27,375;-5,187;297,750;-26,750;-79,500;38396822;33703128;948;80,405;6
47,842;785,113;1,196,263;-2,275;0,984;0,599;160,875;-421,938;172,500;38,375;-19,750;-6,062;315,000;-18,437;-79,250;38396839;33703133;948;79,167;6
47,842;785,705;1,193,393;-0,281;1,268;-1,535;299,312;-578,312;164,125;22,500;-31,875;-20,687;341,875;2,250;-96,438;38396839;33703133;948;79,167;6
47,860;785,855;1,190,662;-0,718;1,477;-2,611;112,437;-623,500;41,938;-3,750;-41,750;-10,188;50,688;-8,250;-114,375;38396839;33703133;948;79,167;6
47,860;786,210;1,187,775;0,110;1,604;-0,816;-29,375;-512,625;135,000;-10,375;-43,063;-0,875;109,438;-17,687;-103,000;38396839;33703133;948;79,167;6
47,860;786,447;1,184,920;1,536;1,734;0,099;34,438;-505,062;112,813;-14,750;-40,875;9,750;143,812;-10,000;-91,375;38396839;33703133;948;79,167;6
